Run,Event,Type1,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
148864,488468481,G,6.18406,6.15278,0.15399,-0.592419,6.15471,-0.0961065,0.0250225,1,G,4.52119,0.679383,4.36509,0.956261,4.41764,0.214808,1.4164,1,6.88255
148864,488520113,G,4.50282,2.6037,-3.55873,-0.905763,4.40951,-0.203993,-0.939152,1,G,5.12899,4.23699,-2.44767,1.53369,4.89318,0.308517,-0.523853,-1,3.08312
148864,488519433,G,9.81611,-2.87023,0.182784,9.38473,2.87605,1.89851,3.078,-1,G,6.39212,-3.41211,0.80304,5.34422,3.50534,1.20833,2.91045,-1,2.30761
148864,488556121,G,21.2653,3.12485,3.15451,-20.7963,4.44023,-2.24842,0.790121,-1,G,8.45147,3.01415,1.76612,-7.69493,3.49346,-1.53076,0.53002,1,3.07187
148864,488589825,G,16.0545,0.0434934,-3.54833,15.657,3.5486,2.19011,-1.55854,1,T,4.80333,1.75109,1.56053,-4.19037,2.34554,-1.34388,0.727917,-1,17.216
148864,488630945,G,8.50066,-1.01496,2.68785,-7.99971,2.8731,-1.74795,1.93185,1,T,2.85831,0.708124,0.304855,-2.75034,0.770958,-1.98408,0.406529,-1,2.10049
148864,488694049,G,7.66821,-5.93012,4.19532,2.45422,7.2641,0.331738,2.52588,-1,T,18.8379,-14.0602,2.94693,-12.1854,14.3657,-0.769888,2.93499,1,12.5402
148864,487620386,G,24.4381,-1.1354,-5.17199,23.8573,5.29515,2.21054,-1.7869,1,G,13.3777,2.03163,4.13681,12.5583,4.60877,1.72765,1.11429,-1,10.1027
148864,487644330,G,16.8281,-14.1893,-7.70223,-4.74478,16.1449,-0.289813,-2.64428,-1,T,7.95495,-6.94917,-1.57163,-3.53683,7.12467,-0.478007,-2.91917,-1,3.57422
148864,487663778,G,14.8846,-14.8187,0.248904,-1.37282,14.8208,-0.0924958,3.1248,-1,T,7.12427,-6.93273,1.62882,-0.16817,7.12151,-0.0236122,2.91083,-1,2.31638
